Mechanism,ID,State,Action,Duration,Energy,CO2Footprint,ACR
Internal,116,disruptive,Human,9.213405371,0.0000000325,0.0000107,0.6
Internal,117,disruptive,Autonomous,2.397415638,0.0000000405,0.0000134,0.6
Internal,118,disruptive,Autonomous,2.492976427,0.000000101,0.0000335,0.6
Internal,119,disruptive,Human,8.700208664,0.0000000294,0.00000972,0.6
Internal,120,disruptive,Human,8.700451136,0.0000000294,0.00000973,0.4
Internal,121,disruptive,Human,8.484815359,0.0000000238,0.00000789,0.4
Internal,122,disruptive,Autonomous,4.302708626,9.82E-10,0.000000325,0.4
Internal,123,disruptive,Autonomous,2.3890903,0.0000000751,0.0000248,0.4
Internal,124,disruptive,Autonomous,2.421965122,0.000000201,0.0000666,0.6
Internal,125,disruptive,Human,9.191726208,0.0000000253,0.00000838,0.6
Internal,126,final,Human,8.8977952,0.0000000254,0.00000839,0.6
Internal,127,final,Human,9.491044044,0.0000000277,0.00000915,0.4
Internal,128,final,Human,9.784290314,0.0000000309,0.0000102,0.2
Internal,129,final,Human,9.181420803,0.0000000269,0.00000891,0
Internal,130,final,Human,9.067226648,0.0000000254,0.0000084,0
Internal,131,final,Human,9.210844994,0.0000000254,0.0000084,0
Internal,132,final,Human,9.224030018,0.0000000277,0.00000917,0
Internal,133,final,Human,9.400614023,0.0000000285,0.00000944,0
Internal,134,final,Human,9.186549902,0.0000000278,0.00000918,0
Internal,135,final,Human,9.154184103,0.000000027,0.00000891,0
Internal,136,final,Human,12.54371357,0.0000000506,0.0000167,0
Internal,137,final,Human,9.316258907,0.000000027,0.00000892,0
Internal,138,final,Human,9.094350815,0.0000000231,0.00000764,0
Internal,139,final,Human,11.53243876,0.0000000435,0.0000144,0
Internal,140,final,Autonomous,2.89278388,0.0000000254,0.0000084,0.2
Internal,141,final,Human,9.109325409,0.000000027,0.00000893,0.2
Internal,142,final,Human,9.614005804,0.0000000293,0.00000971,0.2
Internal,143,final,Human,10.17405033,0.0000000341,0.0000113,0.2
Internal,144,final,Human,9.188252449,0.0000000269,0.00000889,0.2
Internal,145,final,Human,9.879907131,0.000000031,0.0000102,0
Internal,146,final,Human,9.229806662,0.0000000269,0.00000889,0
Internal,147,final,Human,8.996266127,0.0000000254,0.00000841,0
Internal,148,final,Autonomous,2.805217505,0.0000000435,0.0000144,0.2
Internal,149,final,Human,9.217960119,0.0000000254,0.00000839,0.2
Internal,150,final,Human,9.454335213,0.0000000278,0.00000919,0.2
Internal,151,final,Human,9.585707188,0.0000000285,0.00000943,0.2
Internal,152,final,Autonomous,2.858301878,0.00000000644,0.00000213,0.4
Internal,153,final,Human,10.01315832,0.0000000324,0.0000107,0.2
Internal,154,final,Autonomous,2.910498857,0.0000000726,0.000024,0.4
Internal,155,final,Human,9.068414927,0.0000000245,0.00000811,0.4
Internal,156,final,Autonomous,2.761971951,0.0000000475,0.0000157,0.6
Internal,157,final,Human,9.309207916,0.0000000269,0.0000089,0.4
Internal,158,final,Human,9.160053015,0.0000000263,0.00000868,0.4
Internal,159,final,Human,12.07835865,0.0000000473,0.0000157,0.2
Internal,160,final,Autonomous,2.8468256,0.0000000223,0.00000736,0.4
Internal,161,final,Autonomous,2.947553396,0.0000000869,0.0000287,0.4
Internal,162,final,Autonomous,2.924328089,0.0000000924,0.0000306,0.6
Internal,163,final,Autonomous,2.815584183,0.0000000915,0.0000303,0.8
Internal,164,final,Autonomous,2.82155323,0.0000000868,0.0000287,1
Internal,165,final,Autonomous,2.788309336,0.00000009,0.0000298,1
Internal,166,final,Human,9.787828922,0.0000000309,0.0000102,0.8
Internal,167,final,Human,9.332321644,0.0000000271,0.00000895,0.6
Internal,168,final,Autonomous,2.843782663,0.0000000387,0.0000128,0.6
Internal,169,final,Autonomous,2.982113123,0.0000000886,0.0000293,0.6
Internal,170,final,Human,9.054829359,0.0000000246,0.00000813,0.4
Internal,171,final,Autonomous,2.793347359,0.0000000443,0.0000146,0.6
Internal,172,final,Autonomous,2.798264265,0.0000000925,0.0000306,0.8
Internal,173,final,Autonomous,2.828711271,0.0000000852,0.0000282,0.8
Internal,174,final,Human,9.505484343,0.0000000287,0.00000948,0.6
Internal,175,final,Human,9.30064559,0.000000027,0.00000892,0.6
Internal,176,final,Human,9.815049648,0.0000000309,0.0000102,0.4
Internal,177,final,Autonomous,2.830149651,0.0000000373,0.0000123,0.4
Internal,178,final,Autonomous,2.893762112,0.0000000931,0.0000308,0.4
Internal,179,final,Autonomous,2.968631268,0.0000000891,0.0000295,0.6
Internal,180,final,Autonomous,2.852065086,0.0000000908,0.00003,0.8
Internal,181,final,Human,9.075535059,0.0000000254,0.0000084,0.8
Internal,182,final,Autonomous,2.805989742,0.0000000444,0.0000147,0.8
Internal,183,final,Human,9.423285484,0.0000000277,0.00000916,0.6
Internal,184,final,Human,9.518069029,0.0000000277,0.00000917,0.4
Internal,185,final,Autonomous,2.764378548,0.0000000372,0.0000123,0.4
Internal,186,final,Autonomous,2.872354984,0.0000000892,0.0000295,0.6
Internal,187,final,Autonomous,2.869038582,0.00000009,0.0000298,0.6
Internal,188,final,Autonomous,2.8915658,0.0000000749,0.0000248,0.8
Internal,189,final,Autonomous,2.809453726,0.0000000844,0.0000279,1
Internal,190,final,Autonomous,2.885274649,0.0000000924,0.0000306,1
Internal,191,final,Autonomous,2.951328754,0.0000000915,0.0000303,1
Internal,192,final,Human,9.067167282,0.0000000324,0.0000107,0.8
Internal,193,final,Human,9.500639677,0.0000000284,0.00000939,0.6
Internal,194,final,Autonomous,2.863997459,0.0000000364,0.000012,0.6
Internal,195,final,Autonomous,2.901217222,0.0000000909,0.00003,0.6
Internal,196,final,Autonomous,2.837079287,0.0000000955,0.0000316,0.6
Internal,197,final,Autonomous,2.778725386,0.0000000852,0.0000282,0.8
Internal,198,final,Autonomous,2.908961773,0.0000000908,0.00003,1
Internal,199,final,Autonomous,2.881158829,0.0000000886,0.0000293,1
Internal,200,final,Human,9.566458702,0.0000000287,0.00000948,0.8
Internal,201,final,Autonomous,2.894079924,0.0000000412,0.0000136,0.8
Internal,202,final,Autonomous,2.918881416,0.0000000923,0.0000305,0.8
Internal,203,final,Autonomous,2.912863493,0.0000000892,0.0000295,0.8
Internal,204,final,Autonomous,2.920521975,0.00000009,0.0000298,0.8
Internal,205,final,Autonomous,2.830677986,0.0000000877,0.000029,1
Internal,206,final,Autonomous,2.841105223,0.0000000867,0.0000287,1
Internal,207,final,Autonomous,2.813258171,0.0000000907,0.00003,1
Internal,208,final,Autonomous,2.870970249,0.0000000922,0.0000305,1
Two-Agent,1,none,Human,10.22460794,0.0000000327,0.0000108,0
Two-Agent,2,none,Human,9.043750048,0.0000000254,0.00000841,0
Two-Agent,3,none,Human,9.214079618,0.000000027,0.00000893,0
Two-Agent,4,none,Human,9.597014189,0.0000000292,0.00000967,0
Two-Agent,5,none,Human,9.441023827,0.0000000278,0.00000919,0
Two-Agent,6,none,Human,9.56067729,0.0000000293,0.0000097,0
Two-Agent,7,none,Autonomous,2.80887413,0.0000000396,0.0000131,0.2
Two-Agent,8,none,Autonomous,3.044225454,0.0000000923,0.0000305,0.4
Two-Agent,9,none,Autonomous,3.037293673,0.0000000875,0.000029,0.6
Two-Agent,10,none,Autonomous,2.912280321,0.0000000892,0.0000295,0.8
Two-Agent,11,steady,Autonomous,2.789520741,0.0000000893,0.0000295,1
Two-Agent,12,steady,Autonomous,2.950777292,0.0000000908,0.00003,1
Two-Agent,13,steady,Autonomous,2.955796957,0.0000000861,0.0000285,1
Two-Agent,14,steady,Autonomous,2.969979763,0.0000000915,0.0000303,1
Two-Agent,15,steady,Autonomous,2.962810516,0.0000000861,0.0000285,1
Two-Agent,16,steady,Autonomous,2.774521112,0.00000009,0.0000298,1
Two-Agent,17,steady,Autonomous,3.034466028,0.0000000908,0.00003,1
Two-Agent,18,steady,Autonomous,2.827139854,0.000000087,0.0000288,1
Two-Agent,19,steady,Autonomous,2.765599489,0.0000000908,0.00003,1
Two-Agent,20,steady,Autonomous,2.811161757,0.0000000901,0.0000298,1
Two-Agent,21,steady,Autonomous,2.813525677,0.0000000908,0.00003,1
Two-Agent,22,steady,Autonomous,2.799559116,0.0000000636,0.000021,1
Two-Agent,23,steady,Human,9.113705397,0.0000000261,0.00000864,0.8
Two-Agent,24,steady,Autonomous,2.732425928,0.0000000443,0.0000147,0.8
Two-Agent,25,steady,Human,9.858296871,0.0000000317,0.0000105,0.6
Two-Agent,26,steady,Autonomous,2.842088461,0.0000000349,0.0000115,0.6
Two-Agent,27,steady,Human,9.096451283,0.0000000262,0.00000866,0.4
Two-Agent,28,steady,Autonomous,2.899205685,0.0000000436,0.0000144,0.6
Two-Agent,29,steady,Autonomous,2.880935431,0.0000000916,0.0000303,0.6
Two-Agent,30,steady,Autonomous,2.75612998,0.0000000892,0.0000295,0.8
Two-Agent,31,steady,Autonomous,2.867802143,0.00000009,0.0000298,0.8
Two-Agent,32,steady,Autonomous,2.849837542,0.0000000924,0.0000305,1
Two-Agent,33,steady,Autonomous,2.839552402,0.00000009,0.0000298,1
Two-Agent,34,steady,Autonomous,2.863385677,0.00000009,0.0000298,1
Two-Agent,35,steady,Autonomous,2.821410179,0.0000000868,0.0000287,1
Two-Agent,36,steady,Autonomous,2.795210838,0.0000000901,0.0000298,1
Two-Agent,37,steady,Human,11.54305339,0.0000000442,0.0000146,0.8
Two-Agent,38,steady,Human,9.126042604,0.0000000262,0.00000866,0.6
Two-Agent,39,steady,Autonomous,2.820012808,0.000000046,0.0000152,0.6
Two-Agent,40,steady,Autonomous,2.868205547,0.000000086,0.0000284,0.6
Two-Agent,41,steady,Autonomous,2.880375624,0.0000000915,0.0000303,0.6
Two-Agent,42,steady,Autonomous,2.755908728,0.0000000884,0.0000292,0.8
Two-Agent,43,disruptive,Human,8.614009142,0.0000000278,0.00000919,0.8
Two-Agent,44,disruptive,Human,9.320776224,0.0000000333,0.000011,0.6
Two-Agent,45,disruptive,Human,8.562452793,0.0000000143,0.00000474,0.4
Two-Agent,46,disruptive,Human,10.03469801,0.000000038,0.0000126,0.2
Two-Agent,47,disruptive,Human,8.14770937,0.0000000238,0.00000788,0
Two-Agent,48,disruptive,Human,9.086959124,0.0000000294,0.00000972,0
Two-Agent,49,disruptive,Human,12.37411571,0.000000053,0.0000175,0
Two-Agent,50,disruptive,Autonomous,2.911020279,0.0000000278,0.0000092,0.2
Two-Agent,51,disruptive,Autonomous,2.775508881,0.000000083,0.0000274,0.4
Two-Agent,52,disruptive,Autonomous,5.006037235,0.00000000337,0.00000111,0.6
Two-Agent,53,disruptive,Human,10.20831275,0.000000038,0.0000126,0.6
Two-Agent,54,disruptive,Human,9.106188059,0.0000000293,0.00000968,0.6
Two-Agent,55,disruptive,Autonomous,2.585331917,0.0000000445,0.0000147,0.6
